bucket_id,name,owner,metadata,created_at,updated_at
catalog,products/SeveNToRQ1R2Oh303NvAsN.Image.204236.jpg,null,"{""eTag"":""\""16d37cc0315fd84928639b932a1c002c-1\"""",""size"":83382,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:12.000Z"",""contentLength"":83382,""httpStatusCode"":200}",2026-03-08 23:19:11.717069+00,2026-03-08 23:19:11.717069+00
catalog,products/sVWc6_bkyT4_2XlmBYpsV6.Image.204308.jpg,null,"{""eTag"":""\""59660c4c372310519670f70d6b9dc9ac-1\"""",""size"":76203,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:12.000Z"",""contentLength"":76203,""httpStatusCode"":200}",2026-03-08 23:19:11.717032+00,2026-03-08 23:19:11.717032+00
catalog,products/tIDDmC4SeKmwiZ2uF009Cw.Image.204251.jpg,null,"{""eTag"":""\""b65e4a2036ce2470e8130e61fcd6be21-1\"""",""size"":60149,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:12.000Z"",""contentLength"":60149,""httpStatusCode"":200}",2026-03-08 23:19:11.66067+00,2026-03-08 23:19:11.66067+00
catalog,products/RA3hwzh-E34i2TMpHUuI26.Image.112746.jpg,null,"{""eTag"":""\""03cc93c3753b31fdd87f6f5c466e3536-1\"""",""size"":75722,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:11.000Z"",""contentLength"":75722,""httpStatusCode"":200}",2026-03-08 23:19:10.979268+00,2026-03-08 23:19:10.979268+00
catalog,products/RrfN7PqAgFlgSecJMP6QO2.Image.170700.jpg,null,"{""eTag"":""\""8f65ba881b5941db6f999b7941e0cac0-1\"""",""size"":126734,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:11.000Z"",""contentLength"":126734,""httpStatusCode"":200}",2026-03-08 23:19:10.825664+00,2026-03-08 23:19:10.825664+00
catalog,products/sAKqGFhV-Q4Ci7XAKO64J3.Image.133722.jpg,null,"{""eTag"":""\""e5d5a020bc8fab9df07dddb161acd597-1\"""",""size"":93921,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:11.000Z"",""contentLength"":93921,""httpStatusCode"":200}",2026-03-08 23:19:10.779341+00,2026-03-08 23:19:10.779341+00
catalog,products/RrfN7PqAgFlgSecJMP6QO2.Image.124829.png,null,"{""eTag"":""\""1559467c4c4f0e54d0c8773ccb8a2cb5-1\"""",""size"":109117,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:11.000Z"",""contentLength"":109117,""httpStatusCode"":200}",2026-03-08 23:19:10.769557+00,2026-03-08 23:19:10.769557+00
catalog,products/rVDJY9gplXg62SH3yLaWyb.Image.015228.jpg,null,"{""eTag"":""\""18d14d9b193dbd4f9b53178643bbcee5-1\"""",""size"":101606,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:11.000Z"",""contentLength"":101606,""httpStatusCode"":200}",2026-03-08 23:19:10.744544+00,2026-03-08 23:19:10.744544+00
catalog,products/rlS3I5AMVRkHxzVXj2nSvy.Image.204315.jpg,null,"{""eTag"":""\""3fcba1156ca7240ab1df7cf95b3ecd2b-1\"""",""size"":82974,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:11.000Z"",""contentLength"":82974,""httpStatusCode"":200}",2026-03-08 23:19:10.731805+00,2026-03-08 23:19:10.731805+00
catalog,products/S3puRDZnsvmXUSgnS5oxmG.Image.220531.jpg,null,"{""eTag"":""\""ec13e876cf86166ce4d9ef1888ec9bfa-1\"""",""size"":83525,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:11.000Z"",""contentLength"":83525,""httpStatusCode"":200}",2026-03-08 23:19:10.727172+00,2026-03-08 23:19:10.727172+00
catalog,products/S5UCz5Cift4oAImoY0qh10.Image.233230.jpg,null,"{""eTag"":""\""9671bf130621074f2cd83a3ac84086d8-1\"""",""size"":67687,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:11.000Z"",""contentLength"":67687,""httpStatusCode"":200}",2026-03-08 23:19:10.725208+00,2026-03-08 23:19:10.725208+00
catalog,products/RQhgINFcC84na5qSsKXpe2.Image.220132.jpg,null,"{""eTag"":""\""aba60d3a8df095cf57a1acf469c3ac11-1\"""",""size"":82181,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:11.000Z"",""contentLength"":82181,""httpStatusCode"":200}",2026-03-08 23:19:10.720466+00,2026-03-08 23:19:10.720466+00
catalog,products/rFo3EX16py6UXakcsi9nLZ.Image.024847.jpg,null,"{""eTag"":""\""a5899cf866da724b544c0f83798656fb-1\"""",""size"":74496,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:11.000Z"",""contentLength"":74496,""httpStatusCode"":200}",2026-03-08 23:19:10.716326+00,2026-03-08 23:19:10.716326+00
catalog,products/Q3LaQ-wlJR4qmMWo-JGAwc.Image.220109.jpg,null,"{""eTag"":""\""c328903b8e8cce0be4669ae58f1e0332-1\"""",""size"":78886,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:10.000Z"",""contentLength"":78886,""httpStatusCode"":200}",2026-03-08 23:19:09.90558+00,2026-03-08 23:19:09.90558+00
